,t,x,y,z
0,0.0,5.0,5.0,5.0
1,0.01,5.053033939386574,6.095237589463894,5.143318460348007
2,0.02,5.205284074251194,7.194442948996658,5.344004945160183
3,0.03,5.448568140384334,8.315293498491915,5.61072607981274
4,0.04,5.777004035487385,9.472145247334094,5.955391290171187
5,0.05,6.186471138282809,10.675916074647196,6.3930622095563905
6,0.06,6.6740994777976885,11.93370916049309,6.941948507805563
7,0.07,7.237757829225172,13.248145575804548,7.623384616856935
8,0.08,7.875511981963144,14.616383838332407,8.461668078814359
9,0.09,8.585025910518794,16.028824646168125,9.483613923804626
10,0.1,9.362882789008125,17.467540125527105,10.717645497225316
11,0.11,10.203811928246637,18.90453898230131,12.192210127444756
12,0.12,11.099824720851071,20.300091016402142,13.93329562058348
13,0.13,12.03929081827614,21.601488975974533,15.960859450891114
14,0.14,13.00602751034797,22.742808459983557,18.28410636915519
15,0.15,13.978530154892763,23.646392713447966,20.89580502408981
16,0.16,14.929532790704135,24.226850699054964,23.76624498509071
17,0.17,15.826139171584387,24.398184268688155,26.837970331505467
18,0.18,16.630777316124405,24.084118976400365,30.02294877197215
19,0.19,17.303170162393815,23.230750673815642,33.204082333683274
20,0.2,17.803353278014203,21.819389473040303,36.242599745707196
21,0.21,18.09551101709904,19.876424694944163,38.991656430699216
22,0.22,18.152101356470183,17.476792818153854,41.314529034554866
23,0.23,17.957506426215897,14.73872351858356,43.10377210183308
24,0.24,17.510404287266564,11.809811967078748,44.29660189615391
25,0.25,16.824276214899932,8.847276629128377,44.882382739990874
26,0.26,15.925897668844257,5.997217519758049,44.900395777082764
27,0.27,14.852155899481158,3.3778231779415204,44.429092176900824
28,0.28,13.645905193057496,1.0697870553196331,43.57039164597486
29,0.29,12.351691029743822,-0.8853769414581831,42.433351445390095
30,0.3,11.012046107696154,-2.480671240816008,41.12069939275658
31,0.31,9.664781773574685,-3.735296168950068,39.72002905501789
32,0.32,8.341395034068425,-4.685349063187233,38.29977962317075
33,0.33,7.066478174400377,-5.375465084993752,36.90902484584433
34,0.34,5.857891505880796,-5.852379044816158,35.57968758349204
